SEG NUM, PARENT, CHILDREN, STATUS, DIAMETER, START X, START Y, START X, END X, END Y, END Z, LENGTH, ENERGY, VELOCITY, DIST FROM ROOT, FARTHEST DIST FROM ROOT, 
98, 90, pr: 101 pr: 102 , PRIMARY, 0.106556, -5.38602, 55.2298, -11.576, -5.26969, 53.9776, -12.5911, 1.61614, 145265, 0.00567708, 0, 0, 
99, 97, NO CHILDREN, PRIMARY, 0.0744858, -5.40237, 54.5554, -12.0902, -5.56149, 54.2365, -12.3696, 0.452835, 45283.4, 0.00277407, 0, 0, 
100, 97, NO CHILDREN, PRIMARY, 0.0685647, -5.40237, 54.5554, -12.0902, -5.77166, 53.9876, -12.7781, 0.965326, 79068.5, 0.00235056, 0, 0, 
101, 98, NO CHILDREN, PRIMARY, 0.074503, -5.26969, 53.9776, -12.5911, -5.33204, 53.7048, -12.6921, 0.297522, 29752.3, 0.00277535, 0, 0, 
102, 98, NO CHILDREN, PRIMARY, 0.0768174, -5.26969, 53.9776, -12.5911, -4.84092, 53.1048, -13.0744, 1.08595, 98481.4, 0.00295045, 0, 0, 
103, 72, pr: 105 pr: 106 , PRIMARY, 0.196925, -5.29292, 57.3075, -10.5986, -4.59839, 55.0681, -12.1912, 2.8343, 283430, 0.0193896, 0, 0, 
104, 72, pr: 119 pr: 120 , PRIMARY, 0.233443, -5.29292, 57.3075, -10.5986, -7.1871, 54.8259, -12.1273, 3.47602, 390251, 0.0272478, 0, 0, 
105, 103, pr: 107 pr: 108 , PRIMARY, 0.156686, -4.59839, 55.0681, -12.1912, -4.98461, 53.9185, -13.4032, 1.71459, 171459, 0.0122753, 0, 0, 
106, 103, pr: 113 pr: 114 , PRIMARY, 0.171922, -4.59839, 55.0681, -12.1912, -5.30391, 54.3086, -12.9926, 1.31033, 109106, 0.0147786, 0, 0, 
107, 105, pr: 109 pr: 110 , PRIMARY, 0.127951, -4.98461, 53.9185, -13.4032, -5.10905, 53.3659, -14.9367, 1.63475, 163475, 0.00818576, 0, 0, 
108, 105, pr: 111 pr: 112 , PRIMARY, 0.129638, -4.98461, 53.9185, -13.4032, -4.84209, 53.4019, -13.9589, 0.772001, 61302.3, 0.00840294, 0, 0, 
109, 107, NO CHILDREN, PRIMARY, 0.0814668, -5.10905, 53.3659, -14.9367, -5.07437, 53.3232, -15.1308, 0.201709, 20170.9, 0.00331842, 0, 0, 
110, 107, NO CHILDREN, PRIMARY, 0.0826784, -5.10905, 53.3659, -14.9367, -4.18041, 52.9666, -15.9123, 1.40486, 134691, 0.00341786, 0, 0, 
111, 108, NO CHILDREN, PRIMARY, 0.0815153, -4.84209, 53.4019, -13.9589, -4.27717, 52.9875, -14.664, 0.993987, 99398.9, 0.00332237, 0, 0, 
112, 108, NO CHILDREN, PRIMARY, 0.0784945, -4.84209, 53.4019, -13.9589, -4.40649, 53.1405, -14.3999, 0.672727, 62643.4, 0.00308069, 0, 0, 
113, 106, pr: 115 pr: 116 , PRIMARY, 0.109746, -5.30391, 54.3086, -12.9926, -5.47005, 54.0154, -13.4915, 0.602049, 60205, 0.00602212, 0, 0, 
114, 106, pr: 117 pr: 118 , PRIMARY, 0.100623, -5.30391, 54.3086, -12.9926, -4.78247, 53.4493, -14.0009, 1.42365, 114165, 0.00506248, 0, 0, 
115, 113, NO CHILDREN, PRIMARY, 0.080273, -5.47005, 54.0154, -13.4915, -5.47161, 53.8826, -14.2617, 0.781563, 78156.2, 0.00322188, 0, 0, 
116, 113, NO CHILDREN, PRIMARY, 0.0891587, -5.47005, 54.0154, -13.4915, -5.5277, 53.4973, -14.1115, 0.810037, 70444.7, 0.00397463, 0, 0, 
117, 114, NO CHILDREN, PRIMARY, 0.0751776, -4.78247, 53.4493, -14.0009, -4.53033, 52.396, -14.7236, 1.30208, 130208, 0.00282584, 0, 0, 
118, 114, NO CHILDREN, PRIMARY, 0.0934757, -4.78247, 53.4493, -14.0009, -4.48638, 52.4967, -14.8498, 1.3099, 102671, 0.00436885, 0, 0, 
119, 104, pr: 121 pr: 122 , PRIMARY, 0.140167, -7.1871, 54.8259, -12.1273, -7.77034, 53.9967, -12.4556, 1.06568, 106569, 0.00982338, 0, 0, 
120, 104, pr: 127 pr: 128 , PRIMARY, 0.157727, -7.1871, 54.8259, -12.1273, -7.69796, 52.4099, -14.166, 3.20228, 275134, 0.0124389, 0, 0, 
121, 119, pr: 123 pr: 124 , PRIMARY, 0.11231, -7.77034, 53.9967, -12.4556, -8.29647, 52.5737, -12.7823, 1.55192, 155192, 0.00630681, 0, 0, 
122, 119, pr: 125 pr: 126 , PRIMARY, 0.118716, -7.77034, 53.9967, -12.4556, -7.48293, 53.171, -13.2931, 1.21067, 104300, 0.00704673, 0, 0, 
123, 121, NO CHILDREN, PRIMARY, 0.0775458, -8.29647, 52.5737, -12.7823, -9.13762, 51.2188, -12.775, 1.5948, 159479, 0.00300668, 0, 0, 
124, 121, NO CHILDREN, PRIMARY, 0.069525, -8.29647, 52.5737, -12.7823, -8.22031, 52.0332, -12.8887, 0.55611, 55693, 0.00241687, 0, 0, 
125, 122, NO CHILDREN, PRIMARY, 0.0979221, -7.48293, 53.171, -13.2931, -7.31374, 52.9445, -13.6376, 0.445687, 44568.5, 0.00479437, 0, 0, 
126, 122, NO CHILDREN, PRIMARY, 0.07139, -7.48293, 53.171, -13.2931, -6.59138, 52.1766, -14.5262, 1.81774, 152725, 0.00254827, 0, 0, 
127, 120, pr: 129 pr: 130 , PRIMARY, 0.117226, -7.69796, 52.4099, -14.166, -8.39662, 50.8924, -14.5017, 1.70406, 170406, 0.00687094, 0, 0, 
128, 120, pr: 131 pr: 132 , PRIMARY, 0.107256, -7.69796, 52.4099, -14.166, -7.4189, 51.2127, -14.6166, 1.30933, 124503, 0.00575187, 0, 0, 
129, 127, NO CHILDREN, PRIMARY, 0.0928489, -8.39662, 50.8924, -14.5017, -9.28136, 50.0273, -14.3982, 1.24167, 124167, 0.00431046, 0, 0, 
130, 127, NO CHILDREN, PRIMARY, 0.062411, -8.39662, 50.8924, -14.5017, -8.25996, 50.1087, -14.1889, 0.854774, 83118.2, 0.00194756, 0, 0, 
131, 128, NO CHILDREN, PRIMARY, 0.0555467, -7.4189, 51.2127, -14.6166, -7.35847, 50.8322, -15.0104, 0.550891, 55088.8, 0.00154272, 0, 0, 
132, 128, NO CHILDREN, PRIMARY, 0.0770863, -7.4189, 51.2127, -14.6166, -7.83986, 50.3849, -15.4599, 1.25441, 96897.4, 0.00297115, 0, 0, 
133, 6, pr: 135 pr: 136 , PRIMARY, 0.444394, -5.765, 61.0153, -9.04533, -7.31372, 58.7365, -9.76721, 2.84821, 284821, 0.0987432, 0, 0, 
134, 6, pr: 197 pr: 198 , PRIMARY, 0.403079, -5.765, 61.0153, -9.04533, -6.18707, 58.9063, -11.2919, 3.1102, 266733, 0.0812364, 0, 0, 
135, 133, pr: 137 pr: 138 , PRIMARY, 0.280999, -7.31372, 58.7365, -9.76721, -8.19641, 57.662, -10.6667, 1.65614, 165614, 0.0394803, 0, 0, 
136, 133, pr: 167 pr: 168 , PRIMARY, 0.340186, -7.31372, 58.7365, -9.76721, -6.33347, 54.9176, -14.1406, 5.88825, 482868, 0.0578634, 0, 0, 
137, 135, pr: 139 pr: 140 , PRIMARY, 0.232814, -8.19641, 57.662, -10.6667, -9.43334, 57.0177, -11.6112, 1.68438, 168438, 0.0271012, 0, 0, 
138, 135, pr: 153 pr: 154 , PRIMARY, 0.191528, -8.19641, 57.662, -10.6667, -8.60745, 57.2424, -10.904, 0.633534, 97897.3, 0.0183415, 0, 0, 
139, 137, pr: 141 pr: 142 , PRIMARY, 0.133276, -9.43334, 57.0177, -11.6112, -9.97849, 56.5627, -12.6587, 1.2655, 126550, 0.00888123, 0, 0, 
140, 137, pr: 147 pr: 148 , PRIMARY, 0.155308, -9.43334, 57.0177, -11.6112, -9.18924, 55.8373, -13.6737, 2.38889, 208079, 0.0120603, 0, 0, 
