SEG NUM, PARENT, CHILDREN, START X, START Y, START X, END X, END Y, END Z, DIST 2 ROOT, MAX DIST 2 ROOT, 
118, 115, NO CHILDREN, -12.1279, 64.5097, -3.56873, -12.1254, 64.4691, -3.55701, 0, 0, 
119, 115, NO CHILDREN, -12.1279, 64.5097, -3.56873, -12.1163, 64.1109, -3.41997, 0, 0, 
120, 105, pr: 122 pr: 123 , -12.0649, 66.0285, -3.92902, -12.9092, 65.5963, -4.21687, 0, 0, 
121, 105, pr: 128 pr: 129 , -12.0649, 66.0285, -3.92902, -12.5636, 65.9968, -4.44217, 0, 0, 
122, 120, pr: 124 pr: 125 , -12.9092, 65.5963, -4.21687, -13.454, 65.6327, -4.45463, 0, 0, 
123, 120, pr: 126 pr: 127 , -12.9092, 65.5963, -4.21687, -13.4101, 65.6103, -4.29073, 0, 0, 
124, 122, NO CHILDREN, -13.454, 65.6327, -4.45463, -13.7058, 65.8693, -4.59251, 0, 0, 
125, 122, NO CHILDREN, -13.454, 65.6327, -4.45463, -13.6446, 65.6602, -4.85948, 0, 0, 
126, 123, NO CHILDREN, -13.4101, 65.6103, -4.29073, -13.8022, 65.371, -4.29779, 0, 0, 
127, 123, NO CHILDREN, -13.4101, 65.6103, -4.29073, -13.8673, 65.601, -4.75454, 0, 0, 
128, 121, pr: 130 pr: 131 , -12.5636, 65.9968, -4.44217, -13.0303, 65.5852, -4.5745, 0, 0, 
129, 121, pr: 132 pr: 133 , -12.5636, 65.9968, -4.44217, -12.6288, 65.6247, -5.33495, 0, 0, 
130, 128, NO CHILDREN, -13.0303, 65.5852, -4.5745, -13.3105, 65.5961, -4.79867, 0, 0, 
131, 128, NO CHILDREN, -13.0303, 65.5852, -4.5745, -13.1382, 65.0451, -4.50648, 0, 0, 
132, 129, NO CHILDREN, -12.6288, 65.6247, -5.33495, -12.8069, 65.7999, -5.9892, 0, 0, 
133, 129, NO CHILDREN, -12.6288, 65.6247, -5.33495, -12.9388, 65.6868, -5.85191, 0, 0, 
134, 7, pr: 136 pr: 137 , -11.0331, 70.5041, -0.895851, -11.1853, 69.9975, -1.33745, 0, 0, 
135, 7, pr: 198 pr: 199 , -11.0331, 70.5041, -0.895851, -12.6563, 69.2562, -1.73236, 0, 0, 
136, 134, pr: 138 pr: 139 , -11.1853, 69.9975, -1.33745, -11.6084, 69.9741, -2.44836, 0, 0, 
137, 134, pr: 168 pr: 169 , -11.1853, 69.9975, -1.33745, -11.4033, 69.311, -3.67748, 0, 0, 
138, 136, pr: 140 pr: 141 , -11.6084, 69.9741, -2.44836, -11.2845, 69.7692, -3.48979, 0, 0, 
139, 136, pr: 154 pr: 155 , -11.6084, 69.9741, -2.44836, -10.9954, 69.8232, -4.59485, 0, 0, 
140, 138, pr: 142 pr: 143 , -11.2845, 69.7692, -3.48979, -11.2909, 69.9708, -4.56137, 0, 0, 
141, 138, pr: 148 pr: 149 , -11.2845, 69.7692, -3.48979, -10.5626, 69.4915, -4.10628, 0, 0, 
142, 140, pr: 144 pr: 145 , -11.2909, 69.9708, -4.56137, -10.8184, 69.7281, -5.32083, 0, 0, 
143, 140, pr: 146 pr: 147 , -11.2909, 69.9708, -4.56137, -10.9802, 70.4449, -5.03746, 0, 0, 
144, 142, NO CHILDREN, -10.8184, 69.7281, -5.32083, -10.3352, 69.6383, -5.59018, 0, 0, 
145, 142, NO CHILDREN, -10.8184, 69.7281, -5.32083, -10.1045, 69.3647, -5.64769, 0, 0, 
146, 143, NO CHILDREN, -10.9802, 70.4449, -5.03746, -10.5462, 70.9323, -5.06197, 0, 0, 
147, 143, NO CHILDREN, -10.9802, 70.4449, -5.03746, -10.8788, 70.5311, -5.05388, 0, 0, 
148, 141, pr: 150 pr: 151 , -10.5626, 69.4915, -4.10628, -10.1878, 69.0156, -4.28288, 0, 0, 
149, 141, pr: 152 pr: 153 , -10.5626, 69.4915, -4.10628, -10.026, 69.2433, -4.20669, 0, 0, 
150, 148, NO CHILDREN, -10.1878, 69.0156, -4.28288, -10.1049, 68.5219, -4.31308, 0, 0, 
151, 148, NO CHILDREN, -10.1878, 69.0156, -4.28288, -10.1631, 68.6747, -4.40803, 0, 0, 
152, 149, NO CHILDREN, -10.026, 69.2433, -4.20669, -9.66938, 68.8565, -4.13114, 0, 0, 
153, 149, NO CHILDREN, -10.026, 69.2433, -4.20669, -9.2617, 69.3519, -4.09439, 0, 0, 
154, 139, pr: 156 pr: 157 , -10.9954, 69.8232, -4.59485, -10.8239, 70.2145, -5.21407, 0, 0, 
155, 139, pr: 162 pr: 163 , -10.9954, 69.8232, -4.59485, -11.1556, 70.2183, -5.49664, 0, 0, 
156, 154, pr: 158 pr: 159 , -10.8239, 70.2145, -5.21407, -10.4004, 70.6108, -5.58622, 0, 0, 
157, 154, pr: 160 pr: 161 , -10.8239, 70.2145, -5.21407, -11.1356, 70.838, -5.817, 0, 0, 
158, 156, NO CHILDREN, -10.4004, 70.6108, -5.58622, -10.2737, 71.0216, -6.23688, 0, 0, 
159, 156, NO CHILDREN, -10.4004, 70.6108, -5.58622, -10.2349, 70.6987, -5.98283, 0, 0, 
160, 157, NO CHILDREN, -11.1356, 70.838, -5.817, -11.4889, 70.9854, -6.03675, 0, 0, 
161, 157, NO CHILDREN, -11.1356, 70.838, -5.817, -11.0508, 71.173, -6.15606, 0, 0, 
162, 155, pr: 164 pr: 165 , -11.1556, 70.2183, -5.49664, -11.3508, 70.1476, -6.22146, 0, 0, 
163, 155, pr: 166 pr: 167 , -11.1556, 70.2183, -5.49664, -10.6484, 70.6754, -6.29929, 0, 0, 
164, 162, NO CHILDREN, -11.3508, 70.1476, -6.22146, -11.6112, 70.2625, -6.5432, 0, 0, 
165, 162, NO CHILDREN, -11.3508, 70.1476, -6.22146, -11.2457, 70.081, -6.57424, 0, 0, 
166, 163, NO CHILDREN, -10.6484, 70.6754, -6.29929, -10.5453, 70.6836, -6.59311, 0, 0, 
167, 163, NO CHILDREN, -10.6484, 70.6754, -6.29929, -10.2759, 70.8074, -6.4566, 0, 0, 
168, 137, pr: 170 pr: 171 , -11.4033, 69.311, -3.67748, -12.663, 68.5951, -5.10416, 0, 0, 
169, 137, pr: 184 pr: 185 , -11.4033, 69.311, -3.67748, -12.1462, 69.0159, -4.70101, 0, 0, 
170, 168, pr: 172 pr: 173 , -12.663, 68.5951, -5.10416, -13.045, 68.5158, -5.2178, 0, 0, 
171, 168, pr: 178 pr: 179 , -12.663, 68.5951, -5.10416, -13.2356, 68.9313, -5.80287, 0, 0, 
172, 170, pr: 174 pr: 175 , -13.045, 68.5158, -5.2178, -13.829, 68.2276, -4.98556, 0, 0, 
173, 170, pr: 176 pr: 177 , -13.045, 68.5158, -5.2178, -13.5933, 68.0241, -5.49446, 0, 0, 
174, 172, NO CHILDREN, -13.829, 68.2276, -4.98556, -14.2519, 67.8179, -5.00556, 0, 0, 
175, 172, NO CHILDREN, -13.829, 68.2276, -4.98556, -14.2788, 68.3064, -5.01041, 0, 0, 
